Usia;Jenis Kelamin;Pendidikan;1. Apakah Anda bermain game online?;2. Seberapa sering Anda bermain game online dalam sebulan terakhir?;3. Berapa lama waktu yang Anda habiskan setiap hari untuk bermain game online? ;4. Apa jenis game online yang paling sering Anda mainkan? (Contoh: MOBA, FPS, RPG, dll.);5. Apakah Anda merasa bermain game online mengganggu waktu belajar atau aktivitas Anda?;6. Bagaimana Anda menilai tingkat rasa stres Anda sebulan terakhir? ;7.  Seberapa sering Anda merasa cemas, depresi, tertekan, atau memiliki masalah kesehatan mental lainnya dalam sebulan terakhir?;8. Apa yang menjadi penyebab utama stres Anda sebulan terakhir?;9. Apakah bermain game online menjadi pilihan pertama Anda ketika Anda merasa stres? atau apakah Anda memiliki metode lain yang Anda coba terlebih dahulu?;10. Jika YA, berikan alasan mu. Jika TIDAK, aktivitas apa yang menjadi pilihan pertamamu ketika merasa stres?;11. Apakah Anda merasa bahwa bermain game online telah membantu Anda mengalihkan perhatian dari sumber stres yang sedang Anda alami?;12. Apakah Anda pernah mengalami situasi di mana bermain game untuk menghilangkan stres malah menambah stres atau masalah lain dalam hidup Anda?;13. Bagaimana pendapat Anda tentang sejauh mana bermain game sebagai cara untuk menghilangkan stres merupakan alternatif yang sehat dan efektif? 
20;Laki-laki;Mahasiswa;Ya;Sekali seminggu;1-2 jam;Sport (8 Ball Pool, FIFA, eFootball);Tidak;Sangat Tinggi;Sangat sering;Kuliah, beban kepanitiaan dan organisasi;Tidak;tidur adalah pilihan pertama;Membantu;Sering;Setuju
19;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Ya;Normal;Sering;tugas;Ya;gambar;Netral;Normal;Setuju
16;Perempuan;Pelajar;Ya;Beberapa kali seminggu;30 menit - 1 jam;RPG (Genshin Impact, Call of Duty, Toram);Netral;Tinggi;Sering;Biasanya antara sekolah kalo gak ya faktor keluarga;Tidak;Antara nonton anime, baca wp kalo gk baca komik;Sangat membantu;Sangat sering;Netral
21;Laki-laki;Mahasiswa;Ya;Setiap hari;Lebih dari 2 jam;RPG (Genshin Impact, Call of Duty, Toram);Netral;Normal;Normal;Gak ada Uang;Ya;Bisa santai;Membantu;Sangat sering;Netral
20;Laki-laki;Mahasiswa;Ya;Jarang;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Ya;Rendah;Normal;Tugas Kuliah;Tidak;Tidur dan makan;Kurang membantu;Sangat sering;Tidak Setuju
21;Perempuan;Mahasiswa;Ya;Setiap hari;Lebih dari 2 jam;Call of duty, murder in th alps;Netral;Normal;Normal;Tugas kuliah ;Tidak;Mengikuti aktivitas fisik di UKM;Kurang membantu;Normal;Tidak Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;it take two;Netral;Tinggi;Sering;tekanan dari orang lain;Tidak;explore tempat baru atau bertemu seseorang;Netral;Tidak pernah;Netral
21;Laki-laki;Mahasiswa;Ya;Jarang;30 menit - 1 jam;RPG (Genshin Impact, Call of Duty, Toram);Tidak;Sangat Tinggi;Sangat sering;Metpen, PPL;Tidak;-;Membantu;Sering;Setuju
20;Laki-laki;Mahasiswa;Ya;Setiap hari;1-2 jam;RPG (Genshin Impact, Call of Duty, Toram);Tidak;Tinggi;Normal;Banyak hal, tidak tau apa yg utama;Ya;Karena Game yang saya mainkan membuat rileks;Sangat membantu;Normal;Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;Sport (8 Ball Pool, FIFA, eFootball);Tidak;Sangat Tinggi;Sangat sering;tugas;Ya;untuk mengalihkan fokus sejenak;Membantu;Normal;Setuju
20;Perempuan;Mahasiswa;Ya;Setiap hari;Kurang dari 30 menit;hay day;Netral;Tinggi;Sangat sering;bersosialisasi;Tidak;membaca;Membantu;Tidak pernah;Netral
19;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Normal;Normal;Deadline yg menumpuk;Ya;Karena aku paham gamenya kalau tugas ga paham;Membantu;Normal;Setuju
19;Perempuan;Mahasiswa;Ya;Jarang;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Tidak;Normal;Normal;Karena banyak tugas dan materi kuliah yang semakin sulit;Ya;Ya, karena saat bermain game online bisa merasa senang ;Membantu;Jarang;Setuju
